CustomerID,Recency,Frequency,Monetary,Cluster
10000,103,2,1606.68,5
10001,349,3,1317.43,0
10002,271,49,1418.84,4
10003,107,37,1601.8,1
10004,72,49,1785.51,1
10005,189,17,709.09,3
10006,21,49,782.39,6
10007,103,2,233.26,3
10008,122,2,1177.65,5
10009,215,28,120.09,2
10010,331,23,957.92,2
10011,88,37,1108.16,1
10012,100,32,608.76,6
10013,360,33,1202.12,4
10014,152,1,109.48,3
10015,131,19,122.83,3
10016,150,2,1654.07,5
10017,309,44,752.37,2
10018,258,26,297.77,2
10019,344,32,1068.37,4
10020,294,6,1551.49,0
10021,192,32,470.85,6
10022,277,4,1264.64,0
10023,161,11,216.43,3
10024,314,17,150.78,2
10025,22,38,1086.14,1
10026,253,24,1104.24,0
10027,236,5,1292.99,0
10028,345,34,1465.88,4
10029,49,6,1952.91,5
10030,59,22,1056.79,1
10031,170,11,679.77,3
10032,188,48,1600.61,4
10033,271,16,578.12,2
10034,190,33,905.99,6
10035,175,9,202.99,3
10036,51,6,99.43,3
10037,364,16,1927.16,0
10038,55,29,1680.16,1
10039,244,3,1407.15,0
10040,320,20,847.46,2
10041,131,36,387.92,6
10042,307,19,355.05,2
10043,135,26,537.97,6
10044,21,3,1120.99,5
10045,329,19,1443.46,0
10046,167,20,1337.38,0
10047,274,32,595.87,2
10048,89,7,1911.99,5
10049,316,41,1488.9,4
10050,14,33,1130.99,1
10051,242,40,1242.86,4
10052,265,39,868.22,4
10053,346,18,533.08,2
10054,53,40,744.15,6
10055,340,1,1527.8,0
10056,92,11,78.07,3
10057,264,28,276.34,2
10058,35,25,139.71,3
10059,206,23,129.42,2
10060,81,31,1718.15,1
10061,50,30,1422.13,1
10062,360,42,974.64,4
10063,2,35,240.78,6
10064,54,7,1008.65,5
10065,106,16,973.27,3
10066,260,26,387.74,2
10067,310,48,896.01,4
10068,191,49,827.08,6
10069,218,2,1250.91,0
10070,44,1,1288.43,5
10071,162,48,138.34,6
10072,202,12,780.49,3
10073,270,5,1270.43,0
10074,351,37,1031.12,4
10075,304,32,1720.16,4
10076,271,9,1334.45,0
10077,215,41,367.72,6
10078,252,35,187.61,2
10079,190,19,1302.72,0
10080,296,48,101.7,2
10081,213,16,1192.26,0
10082,208,3,1883.45,0
10083,237,20,1172.17,0
10084,338,24,806.93,2
10085,53,33,1304.41,1
10086,280,24,943.59,2
10087,217,11,1113.95,0
10088,252,49,1885.86,4
10089,188,8,802.9,3
10090,41,36,1924.32,1
10091,157,38,1815.43,1
10092,15,40,431.79,6
10093,301,20,185.25,2
10094,65,35,246.52,6
10095,345,48,85.53,2
10096,327,25,234.16,2
10097,9,35,1381.86,1
10098,344,25,188.82,2
10099,129,29,672.0,6
10100,136,18,1697.51,5
10101,63,46,95.38,6
10102,139,18,1638.21,5
10103,81,2,599.62,3
10104,163,35,280.42,6
10105,289,16,1408.64,0
10106,261,41,1276.44,4
10107,231,36,1761.07,4
10108,41,33,1483.39,1
10109,28,4,1616.79,5
10110,135,33,599.97,6
10111,201,14,396.01,3
10112,328,21,1513.7,0
10113,268,48,1623.33,4
10114,33,20,1981.49,5
10115,48,8,854.6,3
10116,62,7,775.44,3
10117,216,3,1564.01,0
10118,293,17,714.57,2
10119,99,33,1864.98,1
10120,172,48,1723.9,4
10121,360,12,886.54,0
10122,214,22,1514.2,0
10123,35,22,1521.36,1
10124,227,46,251.09,6
10125,101,30,1809.98,1
10126,131,38,1035.24,6
10127,257,38,1661.59,4
10128,5,45,674.1,6
10129,218,8,1796.27,0
10130,255,27,808.94,2
10131,359,27,71.13,2
10132,283,34,1815.49,4
10133,207,21,228.01,2
10134,15,30,672.66,6
10135,346,33,1902.62,4
10136,42,28,1903.68,1
10137,179,47,1168.2,4
10138,63,33,1282.08,1
10139,352,5,924.47,0
10140,231,48,621.76,6
10141,241,19,690.9,2
10142,52,4,1361.41,5
10143,96,35,1517.13,1
10144,222,49,1593.58,4
10145,231,17,1589.76,0
10146,237,44,227.85,6
10147,143,28,1014.12,1
10148,171,30,162.24,6
10149,29,29,1121.58,1
10150,36,46,910.98,6
10151,13,6,1781.02,5
10152,160,35,734.28,6
10153,327,41,278.28,2
10154,187,37,328.83,6
10155,243,24,1534.95,0
10156,86,29,1255.53,1
10157,284,49,247.19,2
10158,66,46,214.01,6
10159,170,31,1416.89,1
10160,45,35,191.89,6
10161,62,33,1652.63,1
10162,134,21,1427.17,1
10163,284,32,208.63,2
10164,28,23,215.43,3
10165,108,33,1973.95,1
10166,44,3,779.83,3
10167,340,18,772.75,2
10168,286,25,1634.96,4
10169,331,42,1897.13,4
10170,128,31,1972.7,1
10171,348,3,1519.09,0
10172,231,40,783.71,6
10173,190,46,212.83,6
10174,225,24,1565.44,0
10175,283,32,1138.89,4
10176,121,47,877.23,6
10177,116,22,1817.39,1
10178,233,23,266.84,2
10179,259,2,1010.62,0
10180,359,27,72.14,2
10181,198,42,963.89,6
10182,137,2,159.79,3
10183,318,26,281.69,2
10184,165,17,279.18,3
10185,225,40,1315.96,4
10186,307,33,1504.79,4
10187,234,9,1187.57,0
10188,172,43,1926.24,4
10189,152,48,781.0,6
10190,315,39,607.14,2
10191,160,29,1743.77,1
10192,96,42,486.01,6
10193,233,26,1928.28,4
10194,180,35,73.7,6
10195,113,25,1941.26,1
10196,318,24,134.16,2
10197,52,13,1787.73,5
10198,268,7,1079.02,0
10199,295,36,1986.28,4
